"zona","provincia","maxabs","minabs","brecha_sc","count.sc","municipio","provincianombre"
"39062","39",24.1,21.9,2.2,2,"Ribamontán al Monte","Cantabria"
"15050","15",24.3,22.1,2.2,3,"Monfero","Coruña, A"
"45153","45",24.9,22.7,2.2,2,"San Pablo de los Montes","Toledo"
"06094","06",25,22.8,2.2,2,"Oliva de Mérida","Badajoz"
"24188","24",26.4,24.2,2.2,3,"Valencia de Don Juan","León"
"34027","34",27,24.8,2.2,2,"Barruelo de Santullán","Palencia"
"25029","25",31.4,29.2,2.2,2,"Arbeca","Lleida"
"19053","19",31.8,29.6,2.2,2,"Brihuega","Guadalajara"
"43138","43",37.3,35.1,2.2,2,"Santa Bàrbara","Tarragona"
"08091","08",40.6,38.4,2.2,3,"Gelida","Barcelona"
"13001","13",14,11.7,2.3,2,"Abenójar","Ciudad Real"
"06039","06",15.3,13,2.3,2,"Coronada, La","Badajoz"
"39047","39",15.4,13.1,2.3,2,"Noja","Cantabria"
"23040","23",15.8,13.5,2.3,2,"Lahiguera","Jaén"
"46260","46",19.6,17.3,2.3,2,"Vinalesa","Valencia/Valéncia"
"14024","14",20.1,17.8,2.3,2,"Encinas Reales","Córdoba"
"39006","39",21.1,18.8,2.3,2,"Arnuero","Cantabria"
"45034","45",21.5,19.2,2.3,2,"Camuñas","Toledo"
"39102","39",24.5,22.2,2.3,2,"Voto","Cantabria"
"06019","06",24.8,22.5,2.3,3,"Berlanga","Badajoz"
"10111","10",25.6,23.3,2.3,2,"Madrigal de la Vera","Cáceres"
"15084","15",25.6,23.3,2.3,4,"Tordoia","Coruña, A"
"18136","18",26,23.7,2.3,2,"Montejícar","Granada"
"29100","29",26,23.7,2.3,2,"Yunquera","Málaga"
"31042","31",27.2,24.9,2.3,2,"Azagra","Navarra"
"13093","13",29.5,27.2,2.3,5,"Villanueva de los Infantes","Ciudad Real"
"41051","41",31.2,28.9,2.3,2,"Huévar del Aljarafe","Sevilla"
"07010","07",33.5,31.2,2.3,3,"Bunyola","Balears, Illes"
"23033","23",13,10.6,2.4,2,"Frailes","Jaén"
"13057","13",13.5,11.1,2.4,2,"Montiel","Ciudad Real"
"07041","07",13.7,11.3,2.4,2,"Petra","Balears, Illes"
