provincianombre,provincia,maxabs,minabs,brecha_sc,count.sc,municipio,zona,show
Málaga,29,57.9,38.8,19.1,14,Cártama,m29038,dontshow
Navarra,31,45.1,26.1,19,10,Estella/Lizarra,m31097,dontshow
Cádiz,11,44.1,25.2,18.9,23,Arcos de la Frontera,m11006,dontshow
Cantabria,39,44.8,25.9,18.9,13,"Astillero, El",m39008,dontshow
Sevilla,41,46.5,27.6,18.9,24,"Palacios y Villafranca, Los",m41069,dontshow
Gipuzkoa,20,47.3,28.4,18.9,23,Eibar,m20030,dontshow
Gipuzcoa,20,47.3,28.4,18.9,23,Eibar,m20030,dontshow
Girona,17,52.2,33.3,18.9,4,Caldes de Malavella,m17033,dontshow
Asturias,33,54.8,35.9,18.9,10,Valdés,m33034,dontshow
Castellón,12,46.5,27.7,18.8,17,Vinaròs,m12138,dontshow
Murcia,30,50.6,31.8,18.8,20,"Torres de Cotillas, Las",m30038,dontshow
Girona,17,51.4,32.6,18.8,12,Banyoles,m17015,dontshow
Asturias,33,49.9,31.2,18.7,38,Siero,m33066,dontshow
Sevilla,41,58.9,40.2,18.7,21,Morón de la Frontera,m41065,dontshow
Santa Cruz de Tenerife,38,39,20.4,18.6,25,"Realejos, Los",m38031,dontshow
Castellón,12,40.9,22.3,18.6,14,Onda,m12084,dontshow
Murcia,30,46.7,28.2,18.5,23,Jumilla,m30022,dontshow
Granada,18,47.2,28.7,18.5,4,Otura,m18149,dontshow
"A Coruña",15,49.8,31.3,18.5,21,Oleiros,m15058,dontshow
Bizkaia,48,52.8,34.3,18.5,87,Barakaldo,m48013,dontshow
Castellón,12,42.2,23.8,18.4,3,Peníscola/Peñíscola,m12089,dontshow
Sevilla,41,45.5,27.1,18.4,10,"Cabezas de San Juan, Las",m41020,dontshow
Barcelona,8,50,31.6,18.4,51,Sant Cugat del Vallès,m8205,dontshow
"A Coruña",15,53.5,35.1,18.4,63,Ferrol,m15036,dontshow
Córdoba,14,40.3,22,18.3,3,Espiel,m14026,dontshow
Murcia,30,46.4,28.1,18.3,30,Águilas,m30003,dontshow
Ourense,32,48.8,30.5,18.3,80,Ourense,m32054,dontshow
Gipuzkoa,20,50,31.7,18.3,12,Hondarribia,m20036,dontshow
Gipuzcoa,20,50,31.7,18.3,12,Hondarribia,m20036,dontshow
Barcelona,8,56.9,38.6,18.3,8,"Franqueses del Vallès, Les",m8086,dontshow
"Illes Balears,",7,57.8,39.5,18.3,6,Son Servera,m7062,dontshow
Valencia,46,34.8,16.6,18.2,2,Godelleta,m46136,dontshow
Bizkaia,48,49.3,31.1,18.2,38,Basauri,m48015,dontshow
Barcelona,8,50.1,31.9,18.2,15,Martorell,m8114,dontshow
Barcelona,8,51.3,33.2,18.1,32,Cerdanyola del Vallès,m8266,dontshow
Zaragoza,50,35.4,17.4,18,4,Zuera,m50298,dontshow
Almería,4,39.9,21.9,18,2,Mojácar,m4064,dontshow
León,24,49.5,31.5,18,5,Valverde de la Virgen,m24189,dontshow
Málaga,29,52.7,34.7,18,24,Rincón de la Victoria,m29082,dontshow
Madrid,28,41,23.1,17.9,49,"Rozas de Madrid, Las",m28127,dontshow
Sevilla,41,43.3,25.4,17.9,17,Lora del Río,m41055,dontshow
Ourense,32,43.8,25.9,17.9,5,"Pereiro de Aguiar, O",m32058,dontshow
"A Coruña",15,44.4,26.5,17.9,28,Carballo,m15019,dontshow
Jaén,23,44.9,27,17.9,18,Martos,m23060,dontshow
Huelva,21,47.6,29.7,17.9,13,Almonte,m21005,dontshow
